l1Pt,l1Eta,l1Phi,l1E,l2Pt,l2Eta,l2Phi,l2E
33.37292,-2.64919,0.27075,237.17046,39.07198,-3.40452,-2.86708,588.68176
53.46779,-3.82084,2.67986,1220.79285,31.69244,-3.66401,-0.00995,618.68738
30.30991,-0.65839,1.59967,37.12001,48.01208,-1.03263,-2.28840,75.96742
32.86376,1.13721,3.12140,56.50544,27.90522,-0.29821,0.26095,29.15521
15.26793,-0.72574,0.78331,19.46836,41.14444,1.32122,-1.85265,82.59322
49.74613,0.81838,2.20208,67.35544,23.39288,-0.28459,-0.79065,24.34661
65.32423,-1.05956,2.10636,105.55489,83.97676,-0.12638,1.60919,84.64825
46.07202,3.72772,0.48886,958.48315,41.33195,3.63050,-1.66587,780.30597
36.56679,0.23751,1.48409,37.60300,40.43167,0.56843,-1.50469,47.14133
26.37570,-2.84193,-2.82179,226.92468,39.41090,-4.68543,2.01973,2135.39941
80.29476,-3.02295,1.26385,827.05280,25.88729,-2.88928,-0.87700,233.45161
32.66200,2.61301,0.73887,223.95346,39.93617,2.37921,-2.64124,217.43214
34.33696,3.04291,-1.35997,360.77600,24.32643,4.77695,1.88724,1444.38477
33.11285,-0.16045,0.91700,33.53997,30.96776,1.23638,-2.28377,57.80981
57.81594,-2.52756,-0.37518,364.31934,29.31342,-1.53044,1.73018,70.88928
20.95520,-1.31697,2.40071,41.91103,21.91526,1.18988,-0.60328,39.34824
36.75372,-1.84448,2.56581,119.13536,41.35292,-2.13016,-0.89424,176.47398
26.50690,-2.29749,-1.46827,133.19324,19.35749,-4.68636,1.33307,1049.81885
66.29779,-0.89118,-2.34659,94.41415,24.38209,-0.73555,0.50679,31.28070
41.71708,0.71045,-1.40984,52.69570,11.90534,-1.70189,1.61399,33.73168
26.92384,2.42465,1.02737,153.28809,23.70592,4.51673,-2.15233,1085.09644
25.49695,2.89005,-1.49935,230.10733,24.54879,4.90578,0.80469,1657.96863
20.19769,-1.44368,-1.76614,45.16530,22.90856,-4.01072,1.44691,632.32898
15.26676,-0.40909,0.86049,16.56215,28.82446,-2.96335,-1.98565,279.80563
23.18854,-0.70240,1.99241,29.14792,28.14638,1.43812,-1.23332,62.62764
21.09061,-0.40645,-0.26489,22.85687,17.82439,2.36928,2.94197,96.10219
62.00487,2.42436,1.25134,352.91626,22.23575,1.25648,-2.66870,42.22237
34.64064,0.20337,-2.62012,35.35950,35.33503,-0.72714,0.51284,45.09547
40.51571,2.55886,1.58328,263.32141,37.53423,3.12664,-1.83714,428.66110
24.45288,-1.90006,1.87363,83.57784,30.63478,-3.82587,-1.56366,702.98230
31.79062,2.64628,-1.94572,225.27368,34.56457,4.29004,1.22688,1261.31934
35.19036,0.18791,0.01842,35.81349,35.88864,-1.09746,2.12962,59.75915
20.14548,0.53479,-1.08603,23.09558,21.33855,3.05265,2.19316,226.38698
40.99894,-3.38856,1.53516,607.95190,38.03325,-3.00251,-1.62991,383.86472
21.25251,-3.02353,-2.14169,219.03329,12.63504,0.15683,1.63084,12.79075
14.27901,-3.82627,-3.02961,327.79483,15.98077,-0.45883,0.11777,17.69264
26.97241,0.45897,0.22404,29.86357,25.01321,-1.56473,-2.98159,62.41454
33.08843,-1.45438,-2.30429,74.70327,42.13700,-2.26681,0.87785,205.46434
36.29826,2.17942,2.34899,162.51186,20.03051,0.28098,-0.92819,20.82644
21.81106,-0.82234,-0.19534,29.61101,25.63856,-2.91501,2.79332,237.19748
10.17544,-1.24368,2.82295,19.11286,16.92128,2.37243,-1.40070,91.51614
40.37204,-1.01145,0.06880,62.84463,31.47875,-1.99865,-2.94302,118.27515
38.26940,2.73386,2.38379,295.76837,36.27245,3.36462,-0.79875,525.17041
